date,market_id,channel,sessions,quote_starts,bookings,media_spend,tracking_quality_pct
2026-01-01,M001,Paid Search,3411,375,143,6337,90.9
2026-01-01,M001,Organic Search,5854,995,348,753,78.5
2026-01-01,M001,Direct,1012,202,75,845,90.9
2026-01-01,M001,Email,5968,1134,318,748,82.9
2026-01-01,M001,Affiliate,4670,607,140,770,82.3
2026-01-01,M002,Paid Search,570,86,28,2902,85.0
2026-01-01,M002,Organic Search,1839,294,100,737,89.7
2026-01-01,M002,Direct,3565,535,209,521,81.5
2026-01-01,M002,Email,3138,690,228,14,81.5
2026-01-01,M002,Affiliate,2847,342,82,326,88.3
2026-01-01,M003,Paid Search,4768,906,299,4813,96.3
2026-01-01,M003,Organic Search,1991,319,105,136,79.1
2026-01-01,M003,Direct,2332,233,65,814,81.0
2026-01-01,M003,Email,2110,380,87,816,84.7
2026-01-01,M003,Affiliate,1607,225,90,749,79.8
2026-01-01,M004,Paid Search,6072,972,340,7001,90.4
2026-01-01,M004,Organic Search,3686,516,212,569,95.6
2026-01-01,M004,Direct,5323,532,138,817,86.2
2026-01-01,M004,Email,2084,188,36,309,84.6
2026-01-01,M004,Affiliate,4735,426,158,697,81.5
2026-01-01,M005,Paid Search,3570,678,237,6935,83.6
2026-01-01,M005,Organic Search,6392,1278,371,731,96.4
2026-01-01,M005,Direct,3444,758,296,161,81.1
2026-01-01,M005,Email,3957,594,202,288,93.0
2026-01-01,M005,Affiliate,7125,998,220,665,83.5
2026-01-01,M006,Paid Search,1890,246,71,2223,87.8
2026-01-01,M006,Organic Search,3104,341,102,660,95.7
2026-01-01,M006,Direct,5478,767,253,824,84.8
2026-01-01,M006,Email,7153,787,173,108,95.0
2026-01-01,M006,Affiliate,2611,444,89,561,81.1
2026-01-01,M007,Paid Search,6759,608,182,1796,98.5
2026-01-01,M007,Organic Search,3109,653,215,672,90.5
2026-01-01,M007,Direct,6197,1363,354,217,79.5
2026-01-01,M007,Email,5590,950,314,381,94.4
2026-01-01,M007,Affiliate,6353,762,221,545,78.3
2026-01-01,M008,Paid Search,2649,238,52,8130,93.9
2026-01-01,M008,Organic Search,6406,1345,242,197,80.9
2026-01-01,M008,Direct,976,127,46,296,95.9
2026-01-01,M008,Email,5177,1087,391,720,89.2
2026-01-01,M008,Affiliate,5605,504,126,521,78.8
2026-01-01,M009,Paid Search,1469,176,32,3845,95.8
2026-01-01,M009,Organic Search,2022,384,111,843,94.8
2026-01-01,M009,Direct,7137,1427,528,613,98.3
2026-01-01,M009,Email,6595,1121,460,608,96.9
2026-01-01,M009,Affiliate,6571,1117,268,745,83.6
2026-01-01,M010,Paid Search,7197,576,138,2014,94.3
2026-01-01,M010,Organic Search,3585,574,189,138,82.3
2026-01-01,M010,Direct,2030,162,62,301,98.7
2026-01-01,M010,Email,2032,406,122,353,91.3
2026-01-01,M010,Affiliate,822,132,26,739,94.8
2026-01-01,M011,Paid Search,6363,636,184,2126,85.6
2026-01-01,M011,Organic Search,2565,257,72,23,98.4
2026-01-01,M011,Direct,5469,875,271,871,96.4
2026-01-01,M011,Email,5838,467,140,148,90.5
2026-01-01,M011,Affiliate,1851,389,97,788,89.3
2026-01-01,M012,Paid Search,3025,424,140,8153,93.0
2026-01-01,M012,Organic Search,2997,539,172,247,98.9
2026-01-01,M012,Direct,1509,302,124,717,90.7
2026-01-01,M012,Email,6277,502,201,841,87.0
2026-01-01,M012,Affiliate,6947,1459,511,588,84.1
2026-01-01,M013,Paid Search,4955,496,203,7259,97.5
2026-01-01,M013,Organic Search,6524,783,243,864,98.9
2026-01-01,M013,Direct,5964,1193,251,129,79.2
2026-01-01,M013,Email,2064,413,136,415,96.2
2026-01-01,M013,Affiliate,535,102,19,275,92.3
2026-01-01,M014,Paid Search,1933,193,54,6464,90.7
